name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.max aligndot,O.avg aligndot,O.min aligndot,O.max aligncos,O.avg aligncos,O.min aligncos,O.centering_ratio,OC.max norm,OC.avg norm,OC.min norm,OC.mu norm,OC.ratio norm,OC.max aligndot,OC.avg aligndot,OC.min aligndot,OC.max aligncos,OC.avg aligncos,OC.min aligncos,OC.centering_ratio,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
wor60A-29M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.596,3.596,36.468,,,-,-,-,-,-,0.000,147.382,80.556,0.885,9.338,0.116,0.2439,89.3324,42.1,-,0.000,126.587,71.594,37.340,63.188,0.883,7387.735,3992.767,392.671,0.973,0.872,0.137,0.487,80.679,36.565,16.821,0.000,0.000,3394.961,-0.006,-3600.102,0.776,-0.010,-0.807,1.000,0.0405,2.1900,17.0,5.6,-0.464,-0.475,-0.437,-0.428,31.54,14752.25,0.21%,89.5000,3.7969,33.7500,0.7930,89.5000,107.5000,12864.0,7679.2
wor60A-29M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,5.107,5.107,165.194,,,-,-,-,-,-,nan,3005.457,621.862,0.885,71.680,0.115,0.5792,1354.6710,53.2,-,0.000,679.004,386.949,289.364,321.511,0.831,164068.406,103369.312,31314.455,0.951,0.830,0.203,0.439,520.806,217.972,113.299,0.001,0.000,60699.355,0.262,-72054.578,0.509,-0.019,-0.455,1.000,0.0880,45.9089,17.6,0.7,-0.400,-0.416,-0.611,-0.588,130.73,73487.28,0.18%,1352.0000,5.4688,398.0000,1.9375,1352.0000,1376.0000,2056192.0,7653.2
wor60E-29M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.613,3.613,37.082,,,-,-,-,-,-,0.950,3.922,3.283,0.885,0.084,0.025,-0.4438,-4.7362,-4.7,-,0.000,27.568,2.061,0.645,0.397,0.193,0.321,0.158,-1.040,0.610,0.318,-0.280,1.152,27.609,1.987,0.511,0.000,0.000,0.163,0.000,-1.198,0.268,0.043,-0.507,1.000,0.0418,0.0939,12.3,4.3,-0.499,-0.345,0.349,-0.239,2.33,848.58,0.27%,-4.7500,2.5156,3.6094,0.2871,5.4688,16.7500,172.0,7703.5
wor60E-29M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.588,3.588,36.165,,,-,-,-,-,-,0.003,38.921,30.583,0.885,2.834,0.093,0.0898,0.2198,25.4,-,0.000,90.376,11.649,4.093,0.291,0.025,0.449,0.084,-0.389,0.090,0.029,-0.105,1.054,90.373,11.646,4.093,0.000,0.000,0.365,0.000,-0.474,0.064,-0.003,-0.146,1.000,0.0393,0.9382,20.8,9.4,-0.481,-0.283,-0.407,-0.175,3.62,2997.23,0.12%,0.2197,2.6719,4.5000,0.4316,4.2500,19.1250,344.0,7702.4
wor60E-29M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.591,3.591,36.272,,,-,-,-,-,-,0.000,881.280,250.620,0.885,37.233,0.149,-0.8945,-0.3640,42.3,-,0.000,185.475,76.866,35.504,0.144,0.002,0.267,0.021,-0.263,0.018,0.001,-0.024,1.061,185.475,76.866,35.506,0.000,0.000,0.246,-0.000,-0.284,0.016,-0.001,-0.028,1.000,0.0094,0.9839,21.5,19.1,-0.430,-0.251,-0.375,-0.343,43.68,10669.42,0.41%,-0.3633,2.9219,0.3926,0.9258,2.3125,17.1250,332.0,7709.9
wor60E-29M-13p1B-100k-bs64-lr3-muloss-g1e-01-s1,3.687,3.687,39.944,,,-,-,-,-,-,0.973,1.605,1.386,0.885,0.033,0.024,-0.4158,-5.0862,2.2,-,0.000,18.488,1.323,0.433,0.399,0.302,0.286,0.159,-0.773,0.857,0.477,-0.242,1.206,18.534,1.212,0.228,0.000,0.000,0.126,0.000,-0.932,0.268,0.050,-0.568,1.000,-0.0059,-0.0060,8.6,-8.2,-0.493,-0.338,0.338,-0.184,1.61,565.19,0.28%,-5.0938,2.3906,4.4688,0.2793,6.1562,17.2500,163.0,7716.5
wor60E-29M-13p1B-100k-bs64-lr30-muloss-g1e-01-s1,3.586,3.586,36.101,,,-,-,-,-,-,0.365,11.141,9.392,0.885,0.627,0.067,-0.7061,-7.6281,22.1,-,0.226,25.273,3.293,1.297,0.494,0.150,0.422,0.244,-0.028,0.324,0.177,-0.011,0.645,25.268,3.249,1.233,0.000,0.000,0.178,0.000,-0.272,0.074,-0.002,-0.155,1.000,0.0300,0.4110,25.3,19.4,-0.491,-0.310,-0.280,-0.201,3.66,767.10,0.48%,-7.6250,2.7969,4.5000,0.3691,7.9688,21.1250,127.5,7703.8
wor60E-29M-13p1B-100k-bs64-lr300-muloss-g1e-01-s1,3.578,3.578,35.815,,,-,-,-,-,-,0.000,122.641,87.123,0.885,10.137,0.116,-0.8843,-0.8330,41.4,-,0.000,101.366,27.292,10.529,0.197,0.007,0.277,0.039,-0.279,0.043,0.007,-0.055,1.139,101.365,27.292,10.531,0.000,0.000,0.238,-0.000,-0.318,0.037,-0.001,-0.066,1.000,-0.0854,-4.1366,21.9,18.2,-0.524,-0.405,-0.200,-0.087,18.40,4447.73,0.41%,-0.8359,2.9844,0.5117,0.6523,2.4531,17.2500,306.0,7761.8
wor60E-29M-13p1B-100k-bs64-lr3000-muloss-g1e-01-s1,3.604,3.604,36.741,,,-,-,-,-,-,nan,2966.020,622.517,0.885,67.995,0.109,-0.6176,-0.0075,50.0,-,0.000,363.573,152.678,79.016,0.030,0.000,0.316,0.001,-0.283,0.042,-0.001,-0.040,0.997,363.572,152.678,79.016,0.000,0.000,0.316,-0.000,-0.284,0.042,-0.001,-0.040,1.000,0.0144,0.3954,23.6,19.2,0.066,0.017,0.208,0.219,76.82,12426.46,0.62%,-0.0077,2.8906,0.0359,1.9688,2.2031,18.1250,400.0,7684.6
wor60R-29M-13p1B-100k-bs64-lr10-mucentering-g0e+00-s1,3.613,3.613,37.089,,,-,-,-,-,-,0.956,3.801,3.284,0.885,0.083,0.025,-0.1116,-0.0000,-5.5,-,0.529,4.772,1.496,0.575,0.000,0.000,0.000,0.000,-0.000,0.242,-0.007,-0.251,1.000,4.772,1.496,0.575,0.000,0.000,0.000,-0.000,-0.000,0.242,-0.007,-0.251,1.000,-0.0531,-0.0829,10.6,7.9,-0.130,-0.190,-0.374,-0.305,1.94,229.35,0.85%,0.0000,2.8281,0.0001,0.3145,2.2031,16.1250,308.0,7725.5
wor60R-29M-13p1B-100k-bs64-lr100-mucentering-g0e+00-s1,3.587,3.587,36.141,,,-,-,-,-,-,0.004,38.301,30.578,0.885,2.916,0.095,-0.0103,-0.0000,24.4,-,0.000,35.902,12.373,5.039,0.000,0.000,0.000,0.000,-0.000,0.208,-0.004,-0.209,1.000,35.902,12.373,5.039,0.000,0.000,0.000,-0.000,-0.000,0.208,-0.004,-0.209,1.000,0.0001,0.0020,15.4,11.8,-0.095,-0.240,-0.531,-0.541,9.42,1712.26,0.55%,0.0001,3.2656,0.0003,0.5117,2.5625,17.6250,342.0,7700.7
wor60R-29M-13p1B-100k-bs64-lr1000-mucentering-g0e+00-s1,3.594,3.594,36.369,,,-,-,-,-,-,0.000,797.524,253.464,0.885,37.889,0.149,-0.2065,-0.0000,48.5,-,0.000,237.949,97.450,37.395,0.000,0.000,0.011,0.000,-0.008,0.603,0.008,-0.618,1.000,237.949,97.450,37.395,0.000,0.000,0.011,-0.000,-0.008,0.603,0.008,-0.618,1.000,0.0781,2.4868,19.9,15.5,0.121,-0.051,0.610,0.555,44.51,16114.13,0.28%,-0.0001,3.0938,0.0010,1.1250,2.4219,17.5000,360.0,7723.0
wor60R-29M-13p1B-100k-bs64-lr3-mucentering-g0e+00-s1,3.688,3.688,39.963,,,-,-,-,-,-,0.973,1.635,1.386,0.885,0.033,0.024,-0.0206,-0.0000,2.4,-,0.894,2.829,0.750,0.279,0.000,0.000,0.000,0.000,-0.000,0.301,0.004,-0.265,1.000,2.829,0.750,0.279,0.000,0.000,0.000,-0.000,-0.000,0.301,0.004,-0.265,1.000,-0.0293,-0.0234,12.6,8.9,0.106,-0.088,0.724,0.707,1.61,108.38,1.49%,0.0000,2.5469,0.0001,0.2070,1.9766,15.6250,290.0,7722.5
wor60R-29M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.586,3.586,36.093,,,-,-,-,-,-,0.477,11.000,9.394,0.885,0.632,0.067,0.0033,0.0000,10.3,-,0.081,13.163,3.670,1.437,0.000,0.000,0.000,-0.000,-0.000,0.216,0.001,-0.248,1.000,13.163,3.670,1.437,0.000,0.000,0.000,-0.000,-0.000,0.216,0.001,-0.248,1.000,0.0477,0.3415,12.6,10.2,-0.091,-0.157,0.421,0.344,2.92,497.28,0.59%,0.0001,3.0625,0.0002,0.3438,2.3906,17.1250,326.0,7711.1
wor60R-29M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.582,3.582,35.930,,,-,-,-,-,-,0.000,117.227,82.448,0.885,9.448,0.115,-0.0008,-0.0000,45.0,-,0.000,73.821,31.607,14.931,0.000,0.000,0.000,0.000,-0.000,0.339,0.010,-0.357,1.000,73.821,31.607,14.931,0.000,0.000,0.000,-0.000,-0.000,0.339,0.010,-0.357,1.000,-0.0143,-0.4463,27.1,24.8,-0.070,-0.234,0.476,0.498,23.52,4195.19,0.56%,0.0003,3.8125,0.0003,0.6523,2.9844,19.3750,370.0,7705.5
wor60R-29M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.599,3.599,36.571,,,-,-,-,-,-,nan,2995.109,624.561,0.885,69.060,0.111,-0.3136,-0.0000,47.9,-,0.000,553.281,216.093,99.143,0.000,0.000,0.048,0.000,-0.059,0.574,-0.015,-0.611,1.000,553.281,216.093,99.143,0.000,0.000,0.048,-0.000,-0.059,0.574,-0.015,-0.611,1.000,-0.0295,-0.7826,14.4,8.8,0.062,-0.036,-0.667,-0.631,125.75,33834.80,0.37%,0.0001,3.0625,0.0002,1.0078,2.3906,17.1250,348.0,7705.7
wor60Z-29M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.613,3.613,37.062,,,-,-,-,-,-,0.954,3.796,3.284,0.885,0.084,0.026,-0.1496,-14.0607,12.2,-,0.018,7.119,3.885,1.293,3.663,0.943,24.855,13.417,0.727,0.990,0.942,0.131,0.511,4.235,1.474,0.697,0.000,0.000,11.439,0.000,-12.690,0.881,-0.060,-0.941,1.000,-0.0242,-0.0519,14.6,-1.6,-0.676,-0.684,-0.687,-0.679,2.29,840.72,0.27%,-14.0625,3.1875,4.0938,0.4082,14.0625,30.3750,22.1,7986.4
wor60Z-29M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.586,3.586,36.092,,,-,-,-,-,-,0.005,39.445,30.586,0.885,2.925,0.096,-0.0866,-15.8550,24.1,-,0.000,57.500,29.795,10.834,27.157,0.911,1450.064,737.524,86.704,0.977,0.910,0.223,0.491,37.300,13.352,6.026,0.000,0.000,712.539,-0.002,-650.821,0.855,-0.057,-0.917,1.000,-0.0690,-1.3604,14.5,-3.3,-0.626,-0.668,-0.618,-0.632,7.57,6248.95,0.12%,-15.8750,3.8750,4.4375,0.6836,15.8750,37.5000,15.4,7991.8
wor60Z-29M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.599,3.599,36.567,,,-,-,-,-,-,0.000,797.872,244.721,0.885,35.756,0.146,-0.0247,-18.4302,38.0,-,0.000,422.916,260.329,160.193,246.578,0.947,98307.719,60800.301,28068.828,0.988,0.945,0.611,0.382,207.832,94.942,40.817,0.002,0.000,37507.141,-0.271,-32731.746,0.773,-0.052,-0.815,1.000,0.0790,8.5523,15.5,-12.0,-0.282,-0.292,-0.271,-0.260,43.09,56554.59,0.08%,-18.5000,3.8906,5.0312,0.9688,18.5000,41.5000,11.4,8002.5
wor60Z-29M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.687,3.687,39.944,,,-,-,-,-,-,0.973,1.604,1.386,0.885,0.033,0.024,-0.2600,-13.3369,-1.4,-,0.173,3.172,1.905,0.715,1.789,0.939,5.396,3.199,-0.628,0.991,0.936,-0.322,0.709,2.384,0.744,0.270,0.000,0.000,2.197,0.000,-3.827,0.900,-0.055,-0.924,1.000,0.0072,0.0068,11.4,-1.6,-0.666,-0.648,-0.705,-0.661,1.75,411.37,0.43%,-13.3125,2.9375,4.1875,0.3184,13.3750,27.0000,25.5,7993.0
wor60Z-29M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.585,3.585,36.062,,,-,-,-,-,-,0.337,11.691,9.399,0.885,0.664,0.071,-0.1171,-14.8717,21.6,-,0.000,16.786,9.078,3.711,8.267,0.911,129.899,68.340,7.940,0.981,0.909,0.229,0.474,9.672,4.136,2.094,0.000,0.000,61.559,0.000,-60.400,0.864,-0.063,-0.932,1.000,0.0284,0.2902,17.1,0.6,-0.613,-0.656,-0.599,-0.606,4.81,1907.33,0.25%,-14.8750,3.7031,4.2812,0.5273,14.8750,34.7500,19.8,7996.5
wor60Z-29M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.580,3.580,35.866,,,-,-,-,-,-,0.000,120.924,84.961,0.885,9.785,0.115,-0.0390,-15.9339,44.7,-,0.000,161.420,89.086,36.689,78.424,0.880,10043.541,6150.363,1692.581,0.985,0.882,0.510,0.444,119.592,43.039,15.722,0.001,0.000,3893.201,0.023,-4457.758,0.793,-0.021,-0.904,1.000,-0.0315,-1.6059,24.9,0.2,-0.649,-0.675,-0.598,-0.576,12.64,17949.44,0.07%,-15.9375,3.7812,5.2500,0.7227,16.0000,35.5000,19.8,7992.6
wor60Z-29M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.606,3.606,36.831,,,-,-,-,-,-,nan,3012.456,609.449,0.885,71.109,0.117,-0.0725,-17.0664,51.2,-,0.000,1404.026,1023.925,713.836,1003.867,0.980,1374948.750,1007750.375,684693.625,0.995,0.980,0.904,0.267,481.851,224.800,103.820,0.005,0.000,367199.812,1.539,-323055.188,0.830,-0.035,-0.906,1.000,-0.0208,-0.3464,25.1,-0.8,-0.614,-0.628,-0.607,-0.623,155.23,226572.73,0.07%,-17.1250,3.1875,5.3125,0.9883,17.1250,32.0000,13.1,7982.9
wor80A-57M-13p1B-100k-bs64-lr10-baseline-g0e+00-s1,3.387,3.387,29.582,,,-,-,-,-,-,0.807,4.495,3.938,0.893,0.207,0.052,-0.1104,-3.6016,-0.7,-,0.137,4.773,2.422,1.222,1.865,0.770,7.299,3.478,-2.415,0.963,0.756,-0.472,0.807,4.199,1.615,0.756,0.000,0.000,3.820,0.000,-5.894,0.807,-0.029,-0.813,1.000,0.0368,0.1331,15.3,0.4,-0.621,-0.644,-0.711,-0.656,2.11,442.03,0.48%,-3.6094,2.7500,9.3750,0.3047,8.2500,21.8750,298.0,12918.5
wor80A-57M-13p1B-100k-bs64-lr100-baseline-g0e+00-s1,3.369,3.369,29.051,,,-,-,-,-,-,0.002,51.747,36.570,0.893,3.969,0.109,0.0092,2.3677,39.9,-,0.000,51.836,23.466,9.269,18.563,0.791,844.393,344.588,-221.065,0.957,0.775,-0.626,0.670,37.924,15.362,8.111,0.000,0.000,499.804,-0.001,-565.654,0.784,-0.051,-0.909,1.000,-0.0342,-1.8732,25.3,8.2,-0.593,-0.667,-0.666,-0.682,5.96,4441.11,0.13%,2.3594,3.6250,11.6875,0.5547,9.2500,27.3750,612.0,12894.6
wor80A-57M-13p1B-100k-bs64-lr1000-baseline-g0e+00-s1,3.614,3.614,37.115,,,-,-,-,-,-,0.000,1350.422,285.147,0.893,31.755,0.111,0.1692,273.9658,42.6,-,0.000,351.676,183.497,89.659,144.418,0.787,43723.438,20856.580,-8059.846,0.952,0.771,-0.373,0.661,243.688,119.661,52.131,0.000,0.000,22866.873,0.014,-28916.410,0.796,-0.037,-0.824,1.000,-0.0001,-0.0427,25.5,4.8,-0.579,-0.591,-0.706,-0.655,74.39,34318.95,0.22%,274.0000,5.0000,378.0000,3.2812,274.0000,294.0000,233472.0,12888.2
wor80A-57M-13p1B-100k-bs64-lr3-baseline-g0e+00-s1,3.442,3.442,31.262,,,-,-,-,-,-,0.980,1.733,1.536,0.893,0.033,0.022,-0.0849,-2.3931,-9.7,-,0.335,2.475,1.299,0.522,1.114,0.857,2.455,1.240,-1.121,0.979,0.839,-0.687,0.962,2.484,0.737,0.348,0.000,0.000,1.215,0.000,-2.361,0.894,-0.036,-0.905,1.000,0.0037,0.0031,5.6,-3.2,-0.609,-0.603,-0.695,-0.626,1.46,265.49,0.55%,-2.3906,2.4844,6.0938,0.1934,5.7500,18.3750,264.0,12809.6
wor80A-57M-13p1B-100k-bs64-lr30-baseline-g0e+00-s1,3.372,3.372,29.123,,,-,-,-,-,-,0.383,13.898,11.360,0.893,0.947,0.083,-0.0049,-0.4181,30.5,-,0.013,15.534,7.656,3.414,6.368,0.832,86.063,40.547,-27.504,0.956,0.818,-0.596,0.791,12.472,4.573,2.393,0.000,0.000,45.515,0.000,-68.051,0.770,-0.042,-0.883,1.000,-0.0121,-0.1553,15.7,1.6,-0.669,-0.681,-0.728,-0.686,3.15,1504.74,0.21%,-0.4199,3.0312,11.1875,0.3945,9.3125,24.7500,460.0,12853.0
wor80A-57M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.397,3.397,29.868,,,-,-,-,-,-,0.000,194.530,100.948,0.893,10.867,0.108,0.0559,89.7254,43.3,-,0.000,158.844,89.809,42.738,79.721,0.888,11651.559,6355.395,-642.276,0.975,0.880,-0.155,0.601,101.636,44.919,23.214,0.001,0.000,5296.184,0.022,-6997.648,0.769,-0.032,-0.871,1.000,0.0105,2.3026,21.4,-3.4,-0.570,-0.559,-0.626,-0.575,22.35,18479.48,0.12%,89.5000,4.2188,62.5000,1.4844,90.0000,108.5000,16064.0,12856.3
wor80A-57M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,6.050,6.050,423.930,,,-,-,-,-,-,0.000,2419.036,630.541,0.893,64.127,0.102,0.4772,1852.6667,52.5,-,0.000,730.704,449.563,315.394,359.240,0.799,195701.906,129052.680,17168.318,0.939,0.796,0.099,0.572,571.364,274.856,136.820,0.002,0.000,66648.719,-0.514,-111884.906,0.452,-0.013,-0.579,1.000,-0.0731,-50.6623,22.6,6.1,-0.454,-0.489,-0.630,-0.607,118.41,82487.25,0.14%,1856.0000,6.0312,346.0000,2.4531,1856.0000,1880.0000,3653632.0,12781.8
wor80E-57M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.386,3.386,29.559,,,-,-,-,-,-,0.808,4.495,3.938,0.893,0.206,0.052,-0.4317,-3.7612,9.1,-,0.000,27.005,2.262,0.785,0.376,0.166,0.375,0.142,-0.659,0.460,0.246,-0.157,1.215,27.032,2.211,0.703,0.000,0.000,0.234,0.000,-0.800,0.169,0.022,-0.347,1.000,0.0538,0.2563,12.8,5.3,-0.499,-0.375,0.303,-0.252,2.36,824.75,0.29%,-3.7656,2.7031,3.9844,0.8516,5.0625,23.2500,215.0,12972.9
wor80E-57M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.368,3.368,29.024,,,-,-,-,-,-,0.002,50.980,36.733,0.893,4.014,0.109,-0.4138,-0.4418,33.1,-,0.000,28.530,12.626,6.321,0.184,0.015,0.428,0.034,-0.388,0.115,0.014,-0.132,0.986,28.537,12.625,6.325,0.000,0.000,0.394,0.000,-0.422,0.104,-0.002,-0.147,1.000,-0.0327,-0.7594,24.5,20.4,-0.331,-0.164,0.020,-0.071,10.15,1128.88,0.90%,-0.4414,2.9375,0.5781,0.5117,2.3281,18.5000,322.0,12987.6
wor80E-57M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.402,3.402,30.026,,,-,-,-,-,-,0.000,1164.563,286.108,0.893,31.652,0.111,-0.9459,-0.2223,40.0,-,0.000,190.409,91.045,36.075,0.136,0.001,0.247,0.019,-0.391,0.012,0.001,-0.026,1.048,190.408,91.045,36.077,0.000,0.000,0.228,0.000,-0.409,0.010,-0.001,-0.027,1.000,-0.0230,-1.2534,27.9,26.2,0.213,0.103,-0.116,-0.017,35.18,4874.57,0.72%,-0.2227,2.7812,0.6758,1.5781,2.2031,17.3750,384.0,12934.1
wor80E-57M-13p1B-100k-bs64-lr3-muloss-g1e-01-s1,3.442,3.442,31.241,,,-,-,-,-,-,0.977,1.717,1.536,0.893,0.033,0.022,-0.3380,-3.5413,-12.2,-,0.000,13.862,1.119,0.449,0.385,0.344,0.243,0.148,-0.336,0.830,0.486,-0.264,1.441,13.892,1.014,0.283,0.000,0.000,0.095,0.000,-0.484,0.261,0.023,-0.558,1.000,-0.0236,-0.0215,15.3,3.5,-0.486,-0.276,0.190,-0.281,1.59,420.75,0.38%,-3.5469,2.3438,4.2188,0.4082,4.9688,16.5000,206.0,12955.6
wor80E-57M-13p1B-100k-bs64-lr30-muloss-g1e-01-s1,3.368,3.368,29.024,,,-,-,-,-,-,0.193,13.768,11.346,0.893,0.929,0.082,-0.5855,-2.9471,24.8,-,0.286,27.104,4.434,2.205,0.296,0.067,0.295,0.088,-0.249,0.168,0.080,-0.080,1.141,27.114,4.422,2.204,0.000,0.000,0.207,0.000,-0.337,0.092,0.004,-0.139,1.000,-0.0122,-0.1929,27.2,23.8,-0.495,-0.307,0.274,0.005,4.03,871.45,0.46%,-2.9375,3.2344,1.6250,0.8945,3.7656,21.3750,245.0,12905.0
