name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.max aligndot,O.avg aligndot,O.min aligndot,O.max aligncos,O.avg aligncos,O.min aligncos,O.centering_ratio,OC.max norm,OC.avg norm,OC.min norm,OC.mu norm,OC.ratio norm,OC.max aligndot,OC.avg aligndot,OC.min aligndot,OC.max aligncos,OC.avg aligncos,OC.min aligncos,OC.centering_ratio,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
worA0R-109M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.347,3.347,28.424,,,-,-,-,-,-,0.000,1479.077,508.869,0.920,77.138,0.152,-0.3193,-0.0000,56.9,-,0.000,673.108,337.828,158.466,0.000,0.000,0.079,-0.000,-0.054,0.659,0.007,-0.566,1.000,673.108,337.828,158.466,0.000,0.000,0.079,-0.000,-0.054,0.659,0.007,-0.566,1.000,-0.0057,-0.1167,18.0,15.5,0.068,-0.003,0.636,0.625,128.51,38010.28,0.34%,-0.0000,2.8438,0.0002,0.4570,2.2031,17.2500,340.0,20694.8
worA0Z-109M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.211,3.211,24.815,,,-,-,-,-,-,0.758,5.175,4.470,0.920,0.252,0.056,-0.1447,-14.5588,19.9,-,0.018,7.486,4.213,1.981,3.652,0.867,24.757,13.335,1.952,0.971,0.863,0.206,0.461,4.573,2.198,1.065,0.000,0.000,11.422,-0.000,-11.383,0.797,-0.026,-0.846,1.000,-0.0264,-0.1835,19.8,9.9,-0.609,-0.632,-0.616,-0.593,2.16,838.06,0.26%,-14.5625,3.3281,4.3750,0.4492,14.5625,31.7500,22.9,20901.5
worA0Z-109M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.204,3.204,24.630,,,-,-,-,-,-,0.000,61.344,41.480,0.920,4.323,0.104,-0.0488,-16.2218,27.2,-,0.000,61.819,38.320,17.525,33.078,0.863,1833.455,1094.155,268.734,0.951,0.862,0.408,0.450,39.031,19.890,11.645,0.000,0.000,739.298,-0.002,-825.423,0.656,-0.019,-0.848,1.000,-0.0036,-0.1582,29.6,12.7,-0.621,-0.648,-0.632,-0.631,8.09,7525.71,0.11%,-16.2500,4.1562,4.6562,0.8203,16.2500,39.0000,17.6,20931.7
worA0Z-109M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.279,3.279,26.537,,,-,-,-,-,-,0.000,1682.612,297.039,0.920,25.159,0.085,-0.0077,-19.3183,42.9,-,0.000,608.132,415.758,262.591,388.770,0.935,224629.938,151141.562,87347.102,0.982,0.934,0.769,0.327,290.038,159.083,75.349,0.002,0.000,73488.094,-0.282,-63794.750,0.759,-0.021,-0.830,1.000,-0.0412,-6.6568,32.6,-1.3,-0.467,-0.473,-0.475,-0.476,44.42,88422.37,0.05%,-19.3750,7.0312,5.5000,5.4375,19.3750,66.5000,7.2,20858.5
worA0Z-109M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.261,3.261,26.071,,,-,-,-,-,-,0.977,1.857,1.669,0.920,0.036,0.022,-0.1955,-13.6936,-1.5,-,0.176,3.427,2.006,0.861,1.799,0.897,5.722,3.238,-0.076,0.990,0.892,-0.042,0.579,2.164,0.955,0.391,0.000,0.000,2.484,0.000,-3.314,0.899,-0.031,-0.891,1.000,-0.0734,-0.1028,17.9,4.1,-0.622,-0.609,-0.651,-0.591,1.75,414.24,0.42%,-13.6875,2.9531,4.1562,0.2598,13.6875,28.5000,25.1,20948.1
worA0Z-109M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.202,3.202,24.582,,,-,-,-,-,-,0.195,16.078,12.915,0.920,1.093,0.085,-0.0858,-15.6767,29.4,-,0.000,19.204,10.638,5.294,8.968,0.843,149.537,80.425,14.029,0.962,0.840,0.250,0.462,12.751,5.949,3.147,0.000,0.000,69.112,0.000,-66.396,0.755,-0.035,-0.816,1.000,-0.0170,-0.3786,29.9,15.3,-0.596,-0.602,-0.648,-0.604,4.40,2055.89,0.21%,-15.6875,3.7031,4.5312,0.6406,15.6875,35.5000,18.9,20793.6
worA0Z-109M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.230,3.230,25.280,,,-,-,-,-,-,0.000,269.437,108.978,0.920,9.815,0.090,-0.0322,-17.3818,34.9,-,0.000,175.503,107.025,56.516,92.860,0.868,14497.684,8623.074,3219.663,0.944,0.863,0.469,0.405,102.710,56.329,32.163,0.001,0.000,5874.614,0.006,-5403.405,0.673,-0.028,-0.801,1.000,-0.0584,-3.3385,24.3,9.6,-0.372,-0.387,-0.342,-0.342,10.84,21355.54,0.05%,-17.3750,3.9844,4.7188,0.8594,17.3750,38.7500,9.6,20898.6
worA0Z-109M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.735,3.735,41.890,,,-,-,-,-,-,0.000,1599.110,498.697,0.920,81.656,0.164,-0.0019,-21.4225,54.1,-,0.000,1464.584,1106.428,514.571,1045.537,0.945,1413112.750,1093148.250,449603.562,0.985,0.944,0.791,0.455,687.688,378.163,186.867,0.006,0.000,319965.750,1.338,-643543.375,0.588,-0.006,-0.915,1.000,0.0270,23.9816,34.0,0.3,-0.652,-0.628,-0.669,-0.647,105.26,236153.45,0.04%,-21.7500,10.7500,7.8750,11.4375,21.7500,123.5000,15.1,20825.4
worC0A-221M-13p1B-100k-bs64-lr10-baseline-g0e+00-s1,3.050,3.050,21.123,,,-,-,-,-,-,0.715,6.141,5.019,0.931,0.323,0.064,-0.0276,-1.4598,12.6,-,0.052,7.647,3.339,1.607,2.337,0.700,14.905,5.463,-5.509,0.951,0.675,-0.611,0.736,6.010,2.487,1.316,0.000,0.000,9.442,0.000,-10.971,0.796,-0.028,-0.870,1.000,0.0566,0.4150,12.2,10.9,-0.566,-0.645,-0.670,-0.676,1.88,569.71,0.33%,-1.4609,2.7656,4.5938,0.2910,4.3750,19.2500,304.0,39602.2
worC0A-221M-13p1B-100k-bs64-lr100-baseline-g0e+00-s1,3.076,3.076,21.669,,,-,-,-,-,-,0.000,69.944,45.187,0.931,4.069,0.090,-0.0068,-1.1257,25.9,-,0.000,50.284,29.115,14.236,20.019,0.688,799.896,400.752,-330.138,0.907,0.672,-0.623,0.914,46.465,21.661,12.982,0.000,0.000,399.146,0.002,-730.888,0.626,-0.016,-0.878,1.000,-0.0236,-0.7961,21.2,10.7,-0.665,-0.730,-0.785,-0.779,6.54,4717.80,0.14%,-1.1250,3.2812,6.3438,0.5195,5.7188,21.7500,376.0,39917.7
worC0A-221M-13p1B-100k-bs64-lr1000-baseline-g0e+00-s1,3.305,3.305,27.251,,,-,-,-,-,-,0.000,543.790,259.528,0.931,35.766,0.138,0.1237,349.7912,51.5,-,0.000,480.000,279.524,127.855,209.223,0.748,83862.305,43773.984,-15085.303,0.933,0.721,-0.413,0.702,345.407,195.271,100.306,0.002,0.000,40088.090,-0.227,-58859.520,0.673,-0.015,-0.879,1.000,-0.0117,-5.6628,16.6,-5.1,-0.428,-0.432,-0.507,-0.478,92.96,50337.34,0.18%,350.0000,6.8125,350.0000,4.8750,350.0000,370.0000,262144.0,39681.7
worC0A-221M-13p1B-100k-bs64-lr3-baseline-g0e+00-s1,3.090,3.090,21.986,,,-,-,-,-,-,0.943,2.022,1.816,0.931,0.056,0.031,-0.1523,-4.3941,14.3,-,0.317,2.766,1.484,0.640,1.204,0.812,2.826,1.450,-1.241,0.985,0.791,-0.692,0.952,2.622,0.920,0.417,0.000,0.000,1.377,0.000,-2.691,0.922,-0.014,-0.915,1.000,-0.0080,-0.0108,9.1,3.1,-0.646,-0.657,-0.739,-0.682,1.20,285.69,0.42%,-4.4062,2.4062,3.9531,0.1963,5.3438,17.0000,191.0,39792.7
worC0A-221M-13p1B-100k-bs64-lr30-baseline-g0e+00-s1,3.050,3.050,21.119,,,-,-,-,-,-,0.241,19.083,14.484,0.931,1.264,0.087,0.0506,5.8281,31.3,-,0.009,14.985,8.643,4.318,5.625,0.651,65.258,31.644,-23.416,0.926,0.637,-0.491,0.844,13.492,6.700,3.446,0.000,0.000,33.614,-0.000,-55.061,0.764,-0.020,-0.814,1.000,0.0295,0.7638,26.7,16.0,-0.573,-0.587,-0.741,-0.673,2.97,1334.52,0.22%,5.8125,2.9844,10.3125,0.3691,9.7500,26.3750,720.0,39868.1
worC0A-221M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.153,3.153,23.398,,,-,-,-,-,-,0.000,635.792,123.937,0.931,8.554,0.069,0.0496,35.3538,41.4,-,0.000,154.559,97.635,51.693,75.824,0.777,10141.797,5749.214,-1192.390,0.925,0.763,-0.232,0.684,119.828,63.976,31.317,0.001,0.000,4392.572,-0.012,-6941.616,0.623,-0.019,-0.812,1.000,-0.0034,-0.2737,19.7,-0.2,-0.428,-0.435,-0.531,-0.482,7.71,17746.93,0.04%,35.2500,3.1719,23.6250,0.9062,37.2500,55.0000,3504.0,39749.2
worC0A-221M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,5.099,5.099,163.904,,,-,-,-,-,-,0.000,1466.159,472.900,0.931,66.438,0.140,0.2328,1540.9585,51.2,-,0.000,896.274,582.551,351.697,446.517,0.766,329740.500,199378.078,-32723.633,0.930,0.755,-0.141,0.704,732.285,383.108,202.163,0.001,0.000,130362.750,0.289,-232101.469,0.567,-0.002,-0.720,1.000,0.0030,2.9360,29.8,10.9,-0.431,-0.450,-0.574,-0.544,117.48,103745.96,0.11%,1544.0000,5.4375,624.0000,1.4766,1544.0000,1560.0000,2834432.0,39600.4
worC0E-221M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.051,3.051,21.142,,,-,-,-,-,-,0.715,6.024,5.020,0.931,0.329,0.066,-0.3654,-3.9651,15.8,-,0.316,38.105,3.266,1.297,0.343,0.105,0.239,0.118,-0.368,0.268,0.146,-0.113,1.320,38.116,3.239,1.292,0.000,0.000,0.121,0.000,-0.485,0.093,0.009,-0.253,1.000,0.0102,0.1065,22.3,13.4,-0.493,-0.345,0.219,-0.306,1.87,1143.47,0.16%,-3.9688,2.5312,3.1719,0.6953,4.6875,18.1250,206.0,39770.3
worC0E-221M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.073,3.073,21.615,,,-,-,-,-,-,0.000,77.772,45.458,0.931,4.028,0.089,-0.7803,-0.7628,32.5,-,0.000,35.144,20.593,7.909,0.150,0.007,0.163,0.023,-0.303,0.038,0.006,-0.102,1.075,35.143,20.592,7.916,0.000,0.000,0.141,-0.000,-0.325,0.032,-0.001,-0.109,1.000,-0.0509,-1.3336,40.6,39.5,0.098,-0.017,-0.146,-0.103,9.22,1467.28,0.63%,-0.7617,2.6719,0.5039,0.5898,2.2188,16.7500,314.0,39753.9
worC0E-221M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.125,3.125,22.751,,,-,-,-,-,-,0.000,503.416,250.751,0.931,34.770,0.139,-0.5802,-0.0137,50.3,-,0.000,329.332,156.428,45.695,0.044,0.000,0.131,0.002,-0.235,0.013,-0.000,-0.031,1.008,329.332,156.428,45.696,0.000,0.000,0.129,-0.000,-0.237,0.012,-0.001,-0.032,1.000,-0.0242,-0.4470,39.1,37.1,0.273,0.109,0.091,0.116,37.23,5541.31,0.67%,-0.0138,2.6250,0.0859,1.5469,1.9766,17.8750,406.0,39487.6
worC0E-221M-13p1B-100k-bs64-lr3-muloss-g1e-01-s1,3.090,3.090,21.968,,,-,-,-,-,-,0.946,2.019,1.816,0.931,0.056,0.031,-0.2726,-3.0468,14.4,-,0.477,16.040,1.338,0.532,0.341,0.255,0.208,0.116,-0.521,0.633,0.359,-0.297,1.223,16.076,1.270,0.412,0.000,0.000,0.092,0.000,-0.637,0.238,0.031,-0.548,1.000,-0.0849,-0.1569,16.4,4.0,-0.491,-0.375,0.269,-0.279,1.24,473.00,0.26%,-3.0469,2.5156,2.8438,1.3750,3.9062,17.7500,220.0,39810.8
worC0E-221M-13p1B-100k-bs64-lr30-muloss-g1e-01-s1,3.049,3.049,21.097,,,-,-,-,-,-,0.072,18.454,14.445,0.931,1.278,0.088,-0.4583,-1.9632,33.4,-,0.000,26.448,6.842,3.083,0.263,0.038,0.237,0.069,-0.272,0.099,0.042,-0.145,1.254,26.457,6.837,3.081,0.000,0.000,0.168,-0.000,-0.341,0.060,0.001,-0.187,1.000,0.0546,1.1369,35.9,33.7,-0.471,-0.255,0.146,-0.055,2.54,917.00,0.28%,-1.9609,2.5312,1.3750,0.3398,2.8750,16.3750,272.0,39748.6
worC0E-221M-13p1B-100k-bs64-lr300-muloss-g1e-01-s1,3.087,3.087,21.903,,,-,-,-,-,-,0.000,651.154,117.393,0.931,9.269,0.079,-0.9362,-0.7411,33.4,-,0.000,96.898,53.605,27.993,0.190,0.004,0.176,0.036,-0.184,0.016,0.003,-0.019,1.197,96.897,53.604,27.993,0.000,0.000,0.139,0.000,-0.220,0.013,-0.000,-0.023,1.000,-0.0558,-2.1508,33.9,31.7,-0.104,-0.129,0.255,0.214,13.07,3412.91,0.38%,-0.7422,2.6719,1.3984,0.9180,2.4219,17.7500,342.0,39704.7
worC0E-221M-13p1B-100k-bs64-lr3000-muloss-g1e-01-s1,3.204,3.204,24.631,,,-,-,-,-,-,0.000,1457.062,486.612,0.931,69.833,0.144,-0.8305,-0.0094,48.3,-,0.000,544.204,289.905,107.934,0.020,0.000,0.143,0.000,-0.212,0.018,-0.000,-0.033,1.002,544.204,289.905,107.934,0.000,0.000,0.143,-0.000,-0.212,0.018,-0.000,-0.033,1.000,-0.0156,-0.6223,32.7,29.1,0.368,0.227,-0.389,-0.366,117.54,13526.51,0.87%,-0.0095,2.4844,0.0084,0.8477,1.8906,16.8750,350.0,39651.2
worC0R-221M-13p1B-100k-bs64-lr10-mucentering-g0e+00-s1,3.051,3.051,21.135,,,-,-,-,-,-,0.718,6.014,5.020,0.931,0.324,0.065,-0.0018,-0.0000,19.6,-,0.451,6.917,2.619,1.252,0.000,0.000,0.000,0.000,-0.000,0.165,-0.003,-0.170,1.000,6.917,2.619,1.252,0.000,0.000,0.000,-0.000,-0.000,0.165,-0.003,-0.170,1.000,0.0115,0.0773,18.6,14.6,-0.047,-0.187,-0.396,-0.406,1.97,257.82,0.76%,-0.0000,2.7969,0.0002,0.2676,2.1719,17.2500,338.0,39971.4
worC0R-221M-13p1B-100k-bs64-lr100-mucentering-g0e+00-s1,3.073,3.073,21.604,,,-,-,-,-,-,0.000,71.371,45.511,0.931,3.986,0.088,0.0151,0.0000,25.4,-,0.000,54.659,23.088,12.198,0.000,0.000,0.000,0.000,-0.000,0.192,-0.003,-0.180,1.000,54.659,23.088,12.198,0.000,0.000,0.000,-0.000,-0.000,0.192,-0.003,-0.180,1.000,-0.0375,-0.5297,21.6,20.5,0.009,-0.118,-0.588,-0.504,9.35,2320.41,0.40%,0.0002,3.1406,0.0002,0.5352,2.4219,18.7500,366.0,39832.4
worC0R-221M-13p1B-100k-bs64-lr1000-mucentering-g0e+00-s1,3.127,3.127,22.815,,,-,-,-,-,-,0.000,484.223,253.522,0.931,38.520,0.152,-0.3285,-0.0000,49.0,-,0.000,321.623,177.940,96.934,0.000,0.000,0.004,-0.000,-0.003,0.356,0.007,-0.325,1.000,321.623,177.940,96.934,0.000,0.000,0.004,-0.000,-0.003,0.356,0.007,-0.325,1.000,0.0720,1.4162,33.9,32.0,-0.016,-0.077,0.609,0.569,74.60,17230.95,0.43%,0.0001,3.0469,0.0002,2.0625,2.3594,18.6250,456.0,39771.7
worC0R-221M-13p1B-100k-bs64-lr3-mucentering-g0e+00-s1,3.091,3.091,21.989,,,-,-,-,-,-,0.944,2.032,1.816,0.931,0.055,0.030,0.0319,0.0000,12.7,-,0.872,2.826,0.953,0.432,0.000,0.000,0.000,-0.000,-0.000,0.156,0.001,-0.179,1.000,2.826,0.953,0.432,0.000,0.000,0.000,-0.000,-0.000,0.156,0.001,-0.179,1.000,0.0137,0.0188,17.3,14.9,0.142,-0.016,0.654,0.591,1.28,116.06,1.10%,0.0000,2.4375,0.0001,0.2129,1.8828,16.3750,312.0,39830.2
worC0R-221M-13p1B-100k-bs64-lr30-mucentering-g0e+00-s1,3.050,3.050,21.126,,,-,-,-,-,-,0.264,18.385,14.443,0.931,1.286,0.089,0.0269,0.0000,25.3,-,0.000,20.689,7.985,4.487,0.000,0.000,0.000,0.000,-0.000,0.237,0.007,-0.230,1.000,20.689,7.985,4.487,0.000,0.000,0.000,-0.000,-0.000,0.237,0.007,-0.230,1.000,0.0198,0.2915,22.8,18.6,-0.177,-0.296,0.665,0.655,3.28,892.12,0.37%,0.0000,3.1406,0.0001,0.3809,2.4375,18.0000,358.0,39964.5
worC0R-221M-13p1B-100k-bs64-lr300-mucentering-g0e+00-s1,3.113,3.113,22.484,,,-,-,-,-,-,0.000,168.087,92.136,0.931,15.522,0.168,-0.0746,-0.0000,39.3,-,0.000,112.924,61.297,29.759,0.000,0.000,0.001,0.000,-0.001,0.382,-0.011,-0.425,1.000,112.924,61.297,29.759,0.000,0.000,0.001,-0.000,-0.001,0.382,-0.011,-0.425,1.000,0.0077,0.1291,23.4,21.9,-0.073,-0.179,-0.586,-0.520,19.03,6068.02,0.31%,0.0001,3.1094,0.0001,1.0156,2.4219,18.2500,382.0,39759.7
worC0R-221M-13p1B-100k-bs64-lr3000-mucentering-g0e+00-s1,3.208,3.208,24.719,,,-,-,-,-,-,0.000,1561.665,509.270,0.931,65.962,0.130,-0.3837,-0.0000,45.1,-,0.000,721.419,385.023,191.597,0.000,0.000,0.008,0.000,-0.007,0.160,0.000,-0.145,1.000,721.419,385.023,191.597,0.000,0.000,0.008,-0.000,-0.007,0.160,0.000,-0.145,1.000,0.0234,0.2769,30.1,29.3,0.204,0.096,-0.195,-0.149,124.18,35525.16,0.35%,-0.0001,2.6875,0.0002,0.6172,2.0781,17.1250,348.0,39855.0
worC0Z-221M-13p1B-100k-bs64-lr10-zloss-g1e-04-s1,3.050,3.050,21.108,,,-,-,-,-,-,0.704,6.006,5.020,0.931,0.336,0.067,-0.1191,-15.0723,7.3,-,0.010,8.412,4.865,2.285,4.125,0.848,30.864,17.016,1.646,0.970,0.844,0.121,0.498,6.326,2.712,1.398,0.000,0.000,13.848,0.000,-15.370,0.746,-0.035,-0.841,1.000,-0.0595,-0.6134,16.8,1.1,-0.549,-0.573,-0.597,-0.573,1.99,949.59,0.21%,-15.0625,3.3594,4.3125,0.4062,15.0625,32.5000,19.2,40228.3
worC0Z-221M-13p1B-100k-bs64-lr100-zloss-g1e-04-s1,3.069,3.069,21.516,,,-,-,-,-,-,0.000,65.751,45.436,0.931,4.066,0.089,-0.0359,-16.2169,27.3,-,0.000,58.624,37.277,18.309,29.977,0.804,1528.665,898.608,158.519,0.960,0.802,0.265,0.484,43.665,22.604,12.640,0.000,0.000,630.056,-0.001,-740.090,0.701,-0.018,-0.805,1.000,0.0051,0.3118,27.4,7.9,-0.630,-0.639,-0.710,-0.660,6.46,6835.16,0.09%,-16.2500,3.7500,5.0625,0.7617,16.2500,35.0000,16.5,40234.3
worC0Z-221M-13p1B-100k-bs64-lr1000-zloss-g1e-04-s1,3.173,3.173,23.883,,,-,-,-,-,-,0.000,510.091,245.185,0.931,46.069,0.188,-0.0057,-21.2120,51.5,-,0.000,617.302,427.721,249.412,388.276,0.908,221583.406,150758.703,77150.000,0.970,0.905,0.676,0.332,343.904,187.784,94.862,0.002,0.000,70824.836,0.113,-73608.578,0.650,-0.007,-0.798,1.000,0.0423,18.8251,32.1,-1.0,-0.523,-0.515,-0.548,-0.531,55.95,88228.52,0.06%,-21.2500,9.6250,6.4375,7.4688,21.2500,102.5000,5.0,39826.7
worC0Z-221M-13p1B-100k-bs64-lr3-zloss-g1e-04-s1,3.089,3.089,21.962,,,-,-,-,-,-,0.943,2.021,1.816,0.931,0.056,0.031,-0.2074,-14.0121,12.4,-,0.161,3.763,2.117,0.924,1.881,0.888,6.405,3.537,-0.043,0.989,0.883,-0.022,0.559,2.339,1.057,0.520,0.000,0.000,2.868,0.000,-3.580,0.896,-0.044,-0.885,1.000,-0.0048,-0.0096,11.9,6.3,-0.585,-0.595,-0.638,-0.610,1.50,434.94,0.35%,-14.0000,3.2500,4.2500,0.3750,14.0000,30.0000,26.5,40162.6
worC0Z-221M-13p1B-100k-bs64-lr30-zloss-g1e-04-s1,3.049,3.049,21.092,,,-,-,-,-,-,0.128,18.860,14.458,0.931,1.259,0.087,-0.0978,-16.4138,26.4,-,0.000,22.033,12.903,6.353,10.646,0.825,213.349,113.337,18.866,0.961,0.822,0.257,0.469,16.258,7.500,3.883,0.000,0.000,100.012,-0.000,-94.471,0.738,-0.020,-0.818,1.000,-0.0494,-0.9815,28.3,13.3,-0.578,-0.540,-0.594,-0.493,4.90,2436.03,0.20%,-16.3750,3.9844,4.7812,0.7969,16.5000,37.0000,17.1,39963.4
worC0Z-221M-13p1B-100k-bs64-lr300-zloss-g1e-04-s1,3.091,3.091,21.990,,,-,-,-,-,-,0.000,578.520,121.930,0.931,10.500,0.086,-0.0343,-17.9221,31.3,-,0.000,194.243,117.572,61.112,96.450,0.820,17042.588,9302.572,2881.438,0.937,0.816,0.436,0.454,127.479,69.016,37.773,0.000,0.000,7740.026,0.011,-6421.124,0.710,-0.015,-0.778,1.000,-0.0665,-3.7867,27.6,-1.4,-0.565,-0.532,-0.542,-0.507,13.99,22060.09,0.06%,-18.0000,4.4688,5.5000,1.2812,18.0000,46.7500,9.8,39999.5
worC0Z-221M-13p1B-100k-bs64-lr3000-zloss-g1e-04-s1,3.478,3.478,32.380,,,-,-,-,-,-,0.000,1917.500,534.590,0.931,59.750,0.112,-0.0019,-19.0012,53.0,-,0.000,1455.768,1133.168,586.139,1070.739,0.945,1455213.000,1146482.750,524587.562,0.984,0.944,0.803,0.427,678.248,384.347,189.667,0.004,0.000,308730.250,-0.122,-621895.375,0.549,-0.004,-0.882,1.000,-0.0259,-14.8185,22.4,-0.5,-0.637,-0.605,-0.655,-0.623,49.96,241645.20,0.02%,-19.1250,4.9062,5.2500,2.8750,19.1250,67.5000,9.8,40212.6
